genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Plicochonetes,sexfidus,360.700,345.300,1,1,0.1180
Plicochonetes,sexifidus,345.300,326.400,3,0,NaN
Plicochonetes,sp.,345.300,326.400,2,0,NaN
Podtsheremia,sp.,345.300,326.400,8,0,NaN
Productina,globosa,360.700,326.400,10,0,NaN
Productina,macdonaldi,336.000,326.400,1,0,NaN
Productina,pectinoides,345.300,326.400,1,0,NaN
Productina,"sp. A",345.300,326.400,4,0,NaN
Productina,"sp. B",345.300,326.400,2,0,NaN
Productina,striata,345.300,326.400,1,0,NaN
Productus,sp.,290.100,254.000,4,0,NaN
Productus,undulatus,272.500,268.000,1,0,NaN
Prospira,burnettensis,345.300,326.400,1,0,NaN
Prospira,prima,360.700,345.300,3,0,NaN
Prospira,sp.,360.700,326.400,3,0,NaN
Prospira,tellebangensis,360.700,345.300,8,0,NaN
Prospira,typa,360.700,345.300,2,0,NaN
Pseudodielasma,sp.,268.000,259.000,2,0,NaN
Pseudostrophalosia,blakei,272.500,259.000,27,12,0.1533
Pseudostrophalosia,brittoni,290.100,279.500,4,1,0.1927
Pseudostrophalosia,clarkei,279.500,265.000,58,1,0.8621
Pseudostrophalosia,crassa,268.000,265.000,51,0,NaN
Pseudostrophalosia,ingelarensis,268.000,259.000,14,0,NaN
Pseudosyrinx,exsuperans,336.000,326.400,4,0,NaN
Pseudosyrinx,sinuosa,290.100,279.500,2,0,NaN
Pseudosyrinx,sp.,272.500,265.000,2,0,NaN
Psilocamara,saginatum,290.100,279.500,1,0,NaN
Psilocamara,sp.,290.100,279.500,1,0,NaN
Pterospirifer,sp.,290.100,279.500,1,0,NaN
Pterospirifer,"sp. nov.",279.500,272.500,1,0,NaN
