taxon_name	taxon	sub	size	int_midpoint
Nucula	Biv	nonHet	28.1	3.09
Nuculana	Biv	nonHet	35.6	3.09
Ostrea	Biv	nonHet	190	3.09
Ostreola	Biv	nonHet	51	3.09
Ovalarca	Biv	nonHet	2.6525	3.09
Palliolum	Biv	nonHet	37.15	3.09
Pandora	Biv	nonHet	48.3	3.09
Pandorella	Biv	nonHet	60	3.09
Panomya	Biv	Het	179	3.09
Panopea	Biv	Het	295	3.09
Paphies	Biv	nonHet	83	3.09
Papillicardium	Biv	nonHet	25	3.09
Paradione	Biv	nonHet	97.1	3.09
Paradonax	Biv	Het	35	3.09
